0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0
0.387,0.424,0.272,0.138,0.387,0.582,0.398,0.313,0.0,0.001,0.093,0.171,0.409,0.139,0.863,2
0.496,0.559,0.592,0.122,0.497,0.164,0.543,0.465,0.035,0.161,0.063,0.077,0.758,0.18,0.951,1
0.205,0.177,0.155,0.039,0.205,0.429,0.184,0.295,0.003,0.029,0.148,0.269,0.48,0.456,0.788,3
0.823,0.85,0.826,0.12,0.823,0.258,0.839,0.835,0.102,0.089,0.164,0.235,0.434,0.241,0.971,1
0.729,0.773,0.708,0.141,0.729,0.334,0.753,0.645,0.133,0.11,0.185,0.321,0.252,0.124,0.927,2
0.326,0.332,0.375,0.05,0.326,0.222,0.335,0.399,0.008,0.087,0.134,0.233,0.518,0.343,0.871,2
0.786,0.734,0.786,0.084,0.786,0.341,0.755,0.775,0.178,0.11,0.254,0.331,0.282,0.133,0.93,3
0.311,0.276,0.1,0.067,0.311,0.571,0.27,0.432,0.002,0.025,0.14,0.212,0.7,0.679,0.883,3
0.643,0.751,0.716,0.181,0.649,0.207,0.714,0.667,0.102,0.192,0.112,0.189,0.477,0.201,0.966,1
0.778,0.864,0.87,0.16,0.781,0.168,0.838,0.749,0.192,0.118,0.265,0.41,0.277,0.191,0.92,2
0.489,0.528,0.551,0.093,0.489,0.208,0.518,0.467,0.009,0.054,0.159,0.23,0.46,0.226,0.883,1
0.476,0.505,0.447,0.118,0.476,0.371,0.491,0.403,0.004,0.043,0.057,0.081,0.673,0.147,0.938,1
0.445,0.465,0.418,0.107,0.445,0.4,0.455,0.459,0.028,0.139,0.094,0.14,0.604,0.18,0.927,2
0.703,0.74,0.571,0.14,0.703,0.462,0.713,0.684,0.113,0.196,0.236,0.34,0.343,0.254,0.915,2
0.508,0.383,0.352,0.071,0.508,0.575,0.419,0.391,0.0,0.003,0.015,0.04,0.639,0.202,0.971,1
0.287,0.315,0.21,0.116,0.287,0.557,0.296,0.299,0.002,0.022,0.159,0.256,0.41,0.236,0.777,2
0.437,0.291,0.292,0.024,0.437,0.661,0.336,0.422,0.006,0.055,0.157,0.276,0.381,0.208,0.864,2
0.488,0.452,0.271,0.12,0.489,0.732,0.446,0.47,0.08,0.297,0.42,0.558,0.239,0.288,0.701,3
0.267,0.31,0.501,0.977,0.288,0.108,0.315,0.306,0.001,0.016,0.071,0.161,0.484,0.232,0.884,2
0.842,0.715,0.641,0.071,0.842,0.512,0.747,0.647,0.149,0.107,0.097,0.122,0.548,0.16,0.969,1
0.225,0.18,0.125,0.036,0.225,0.497,0.189,0.374,0.003,0.023,0.271,0.292,0.67,0.623,0.732,3
0.222,0.236,0.159,0.099,0.222,0.565,0.225,0.195,0.0,0.0,0.099,0.212,0.404,0.25,0.753,2
0.58,0.492,0.491,0.056,0.58,0.476,0.52,0.494,0.04,0.117,0.091,0.171,0.418,0.162,0.939,2
0.67,0.592,0.409,0.107,0.67,0.658,0.599,0.518,0.086,0.497,0.282,0.459,0.195,0.191,0.826,3
0.383,0.419,0.464,0.083,0.383,0.173,0.412,0.421,0.014,0.086,0.116,0.243,0.363,0.234,0.897,2
0.579,0.583,0.433,0.125,0.579,0.496,0.568,0.512,0.02,0.111,0.118,0.213,0.463,0.248,0.928,2
0.621,0.657,0.593,0.126,0.621,0.344,0.64,0.545,0.067,0.339,0.086,0.152,0.497,0.17,0.956,1
0.657,0.697,0.642,0.132,0.657,0.321,0.68,0.61,0.067,0.2,0.275,0.431,0.232,0.165,0.873,2
0.578,0.554,0.425,0.105,0.578,0.509,0.549,0.508,0.029,0.161,0.174,0.302,0.343,0.22,0.89,3
0.527,0.512,0.527,0.073,0.527,0.326,0.518,0.454,0.015,0.11,0.118,0.168,0.566,0.136,0.907,1
0.47,0.541,0.475,0.149,0.471,0.326,0.513,0.439,0.009,0.086,0.044,0.062,0.69,0.176,0.959,1
0.269,0.171,0.162,0.031,0.268,0.647,0.201,0.293,0.008,0.071,0.234,0.286,0.588,0.354,0.682,3
0.583,0.573,0.441,0.125,0.583,0.562,0.564,0.484,0.015,0.054,0.224,0.356,0.237,0.074,0.846,3
0.656,0.563,0.503,0.066,0.656,0.503,0.586,0.551,0.081,0.092,0.102,0.135,0.564,0.188,0.947,1
0.327,0.398,0.308,0.162,0.329,0.442,0.368,0.29,0.002,0.032,0.185,0.296,0.377,0.129,0.736,2
0.369,0.424,0.333,0.134,0.371,0.397,0.399,0.433,0.009,0.064,0.289,0.384,0.409,0.328,0.766,2
